Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DemoSuite1,Chrome 125.0.0.0,,,13-06-2024 12:18:04,13-06-2024 12:20:30,2m - 26.026s,FAILED
,,,,,,,
Test Cases/University 3/Anna,Chrome 125.0.0.0,,,13-06-2024 12:18:42,13-06-2024 12:18:53,10.861s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 12:18:42,13-06-2024 12:18:44,1.986s,PASSED
"navigateToUrl(""https://www.annauniv.edu/"")",Chrome 125.0.0.0,,,13-06-2024 12:18:44,13-06-2024 12:18:52,8.174s,PASSED
"click(findTestObject(""Object Repository/Anna/Page_Anna University, Chennai/a_Core Values""))",Chrome 125.0.0.0,,,13-06-2024 12:18:52,13-06-2024 12:18:53,0.676s,FAILED
,,,,,,,
Test Cases/University2/vit,Chrome 125.0.0.0,,,13-06-2024 12:19:43,13-06-2024 12:20:01,17.654s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 12:19:43,13-06-2024 12:19:46,2.724s,PASSED
"navigateToUrl(""https://vit.ac.in/"")",Chrome 125.0.0.0,,,13-06-2024 12:19:46,13-06-2024 12:19:53,7.050s,PASSED
"click(findTestObject(""Object Repository/vit/Page_Vellore Institute of Technology  A Pla_f9d186/a_Menu""))",Chrome 125.0.0.0,,,13-06-2024 12:19:53,13-06-2024 12:19:58,4.468s,PASSED
"click(findTestObject(""Object Repository/vit/Page_Vellore Institute of Technology  A Pla_f9d186/a_Academics""))",Chrome 125.0.0.0,,,13-06-2024 12:19:58,13-06-2024 12:19:59,1.234s,PASSED
"click(findTestObject(""Object Repository/vit/Page_Academics  VIT/i_VIT - Bangalore_fa fa-bars""))",Chrome 125.0.0.0,,,13-06-2024 12:19:59,13-06-2024 12:19:59,0.541s,PASSED
"click(findTestObject(""Object Repository/vit/Page_Academics  VIT/a_Academics""))",Chrome 125.0.0.0,,,13-06-2024 12:19:59,13-06-2024 12:20:00,0.852s,PASSED
"click(findTestObject(""vit/Page_Academics  VIT/a_Academics""))",Chrome 125.0.0.0,,,13-06-2024 12:20:00,13-06-2024 12:20:01,0.756s,FAILED
,,,,,,,
Test Cases/University1/iitm,Chrome 125.0.0.0,,,13-06-2024 12:20:01,13-06-2024 12:20:30,29.142s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 12:20:01,13-06-2024 12:20:03,2.401s,PASSED
"navigateToUrl(""https://www.iitm.ac.in/"")",Chrome 125.0.0.0,,,13-06-2024 12:20:03,13-06-2024 12:20:14,10.241s,PASSED
