Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/iitm-object/Page_Indian Institute of Technology Madras/a_Students""))",Chrome 125.0.0.0,,,13-06-2024 12:20:14,13-06-2024 12:20:14,0.737s,PASSED
"click(findTestObject(""Object Repository/iitm-object/Page_Indian Institute of Technology Madras _a6bf05/a_Campus Amenities""))",Chrome 125.0.0.0,,,13-06-2024 12:20:14,13-06-2024 12:20:16,1.648s,PASSED
"click(findTestObject(""Object Repository/iitm-object/Page_Indian Institute of Technology Madras _02704f/a_Toggle Menu""))",Chrome 125.0.0.0,,,13-06-2024 12:20:16,13-06-2024 12:20:17,0.629s,PASSED
"click(findTestObject(""Object Repository/iitm-object/Page_Indian Institute of Technology Madras _02704f/a_Academics""))",Chrome 125.0.0.0,,,13-06-2024 12:20:17,13-06-2024 12:20:17,0.329s,PASSED
"click(findTestObject(""Object Repository/iitm-object/Page_Indian Institute of Technology Madras _02704f/a_Study  IITM""))",Chrome 125.0.0.0,,,13-06-2024 12:20:17,13-06-2024 12:20:18,0.567s,PASSED
"click(findTestObject(""Object Repository/iitm-object/Page_Indian Institute of Technology Madras _02704f/a_Non-campus BS programmes""))",Chrome 125.0.0.0,,,13-06-2024 12:20:18,13-06-2024 12:20:18,0.831s,PASSED
"click(findTestObject(""Object Repository/iitm-object/Page_Non-campus BS programmes  Indian Insti_386f0a/a_Toggle Menu""))",Chrome 125.0.0.0,,,13-06-2024 12:20:18,13-06-2024 12:20:19,0.519s,PASSED
"click(findTestObject(""Object Repository/iitm-object/Page_Non-campus BS programmes  Indian Insti_386f0a/a_Academics""))",Chrome 125.0.0.0,,,13-06-2024 12:20:19,13-06-2024 12:20:19,0.341s,PASSED
"click(findTestObject(""Object Repository/iitm-object/Page_Non-campus BS programmes  Indian Insti_386f0a/a_Departments""))",Chrome 125.0.0.0,,,13-06-2024 12:20:19,13-06-2024 12:20:20,0.514s,PASSED
"click(findTestObject(""Object Repository/iitm-object/Page_Non-campus BS programmes  Indian Insti_386f0a/a_Aerospace Engineering""))",Chrome 125.0.0.0,,,13-06-2024 12:20:20,13-06-2024 12:20:21,0.756s,PASSED
"click(findTestObject(""Object Repository/iitm-object/Page_Department of Aerospace Engineering  I_ae481f/a_Toggle Menu""))",Chrome 125.0.0.0,,,13-06-2024 12:20:21,13-06-2024 12:20:21,0.560s,PASSED
"click(findTestObject(""Object Repository/iitm-object/Page_Department of Aerospace Engineering  I_ae481f/a_Academics""))",Chrome 125.0.0.0,,,13-06-2024 12:20:21,13-06-2024 12:20:21,0.301s,PASSED
"click(findTestObject(""Object Repository/iitm-object/Page_Department of Aerospace Engineering  I_ae481f/a_Study  IITM""))",Chrome 125.0.0.0,,,13-06-2024 12:20:21,13-06-2024 12:20:22,0.583s,PASSED
"click(findTestObject(""Object Repository/iitm-object/Page_Department of Aerospace Engineering  I_ae481f/a_Joint Degree Programmes""))",Chrome 125.0.0.0,,,13-06-2024 12:20:22,13-06-2024 12:20:23,0.512s,PASSED
"click(findTestObject(""Object Repository/iitm-object/Page_Joint Degree Programmes  IIT Madras/div_Toggle Menu""))",Chrome 125.0.0.0,,,13-06-2024 12:20:23,13-06-2024 12:20:26,3.862s,PASSED
"click(findTestObject(""Object Repository/iitm-object/Page_Joint Degree Programmes  IIT Madras/a_Toggle Menu""))",Chrome 125.0.0.0,,,13-06-2024 12:20:26,13-06-2024 12:20:27,0.274s,PASSED
"click(findTestObject(""Object Repository/iitm-object/Page_Joint Degree Programmes  IIT Madras/a_Academics""))",Chrome 125.0.0.0,,,13-06-2024 12:20:27,13-06-2024 12:20:27,0.317s,PASSED
"click(findTestObject(""Object Repository/iitm-object/Page_Joint Degree Programmes  IIT Madras/a_Academic Facilities""))",Chrome 125.0.0.0,,,13-06-2024 12:20:27,13-06-2024 12:20:27,0.534s,PASSED
"click(findTestObject(""Object Repository/iitm-object/Page_Joint Degree Programmes  IIT Madras/a_Central Library""))",Chrome 125.0.0.0,,,13-06-2024 12:20:27,13-06-2024 12:20:28,0.794s,PASSED
"click(findTestObject(""Object Repository/iitm-object/Page_Central Library  Indian Institute of T_a5a702/a_Toggle Menu""))",Chrome 125.0.0.0,,,13-06-2024 12:20:28,13-06-2024 12:20:29,0.627s,PASSED
"click(findTestObject(""Object Repository/iitm-object/Page_Central Library  Indian Institute of T_a5a702/a_Research""))",Chrome 125.0.0.0,,,13-06-2024 12:20:29,13-06-2024 12:20:29,0.292s,PASSED
"click(findTestObject(""Object Repository/iitm-object/Page_Central Library  Indian Institute of T_a5a702/a_Research Areas""))",Chrome 125.0.0.0,,,13-06-2024 12:20:29,13-06-2024 12:20:30,0.864s,PASSED
