Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DemoSuite1,Chrome 125.0.0.0,,,13-06-2024 11:16:08,13-06-2024 11:18:06,1m - 57.982s,FAILED
,,,,,,,
Test Cases/University 3/Anna,Chrome 125.0.0.0,,,13-06-2024 11:16:44,13-06-2024 11:16:56,11.877s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 11:16:44,13-06-2024 11:16:47,2.271s,PASSED
"navigateToUrl(""https://www.annauniv.edu/"")",Chrome 125.0.0.0,,,13-06-2024 11:16:47,13-06-2024 11:16:56,9.003s,PASSED
"click(findTestObject(""Object Repository/Anna/Page_Anna University, Chennai/a_Core Values""))",Chrome 125.0.0.0,,,13-06-2024 11:16:56,13-06-2024 11:16:56,0.575s,FAILED
,,,,,,,
Test Cases/University2/vit,Chrome 125.0.0.0,,,13-06-2024 11:17:48,13-06-2024 11:18:06,17.539s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 11:17:48,13-06-2024 11:17:50,2.230s,PASSED
"navigateToUrl(""https://vit.ac.in/"")",Chrome 125.0.0.0,,,13-06-2024 11:17:50,13-06-2024 11:17:58,7.487s,PASSED
"click(findTestObject(""Object Repository/vit/Page_Vellore Institute of Technology  A Pla_f9d186/a_Menu""))",Chrome 125.0.0.0,,,13-06-2024 11:17:58,13-06-2024 11:18:02,4.573s,PASSED
"click(findTestObject(""Object Repository/vit/Page_Vellore Institute of Technology  A Pla_f9d186/a_Academics""))",Chrome 125.0.0.0,,,13-06-2024 11:18:02,13-06-2024 11:18:03,1.037s,PASSED
"click(findTestObject(""Object Repository/vit/Page_Academics  VIT/i_VIT - Bangalore_fa fa-bars""))",Chrome 125.0.0.0,,,13-06-2024 11:18:03,13-06-2024 11:18:04,0.574s,PASSED
"click(findTestObject(""Object Repository/vit/Page_Academics  VIT/a_Academics""))",Chrome 125.0.0.0,,,13-06-2024 11:18:04,13-06-2024 11:18:05,0.861s,PASSED
"click(findTestObject(""vit/Page_Academics  VIT/a_Academics""))",Chrome 125.0.0.0,,,13-06-2024 11:18:05,13-06-2024 11:18:06,0.754s,FAILED
